Description,Price,Auction,Lot number,Condition,Damage,Mileage,Date of sale
Volvo Xc70 3.2L 2013 White 3.2L vin: YV4940BZ8D1160194,1975,IAAI,28635753,Starts,Right Front,110863 miles (Actual),19.10.2020
Volvo S60 2.5T 2008 Black 2.5L vin: YV1RS592X82687775,25,IAAI,28625860,Stationary,Repossession,1 mile (Inoperable Digital Dash),19.10.2020
Volvo V60 Cross Country Platinum 2018 Blue 2.0L vin: YV440MWM5J2051970,12525,IAAI,28553534,Run and Drive,Left Side,12266 miles (Actual),19.10.2020
Volvo Xc60 3.2L 2011 Tan 3.2L vin: YV4940DZ2B2209815,4350,IAAI,28542941,Stationary,Front End,22800 miles (Actual),19.10.2020
Volvo S80 3.2L 2008 White 3.2L vin: YV1AS982981060254,250,IAAI,28541937,Run and Drive,Front End,182785 miles (Not Required/Exempt),19.10.2020
Volvo Vhd 2016 White vin: 4V5KC9DG3GN958820,2500,IAAI,28539848,Unknown,Front End,0 miles (Not Required/Exempt),19.10.2020
Volvo Xc90 I6 2008 Gray 3.2L vin: YV4CZ982481438729,675,IAAI,28533355,Stationary,Flood,139887 miles (Not Actual),19.10.2020
Volvo S40 2.4L 2008 Blue 2.4L vin: YV1MS390482382639,875,IAAI,28487167,Run and Drive,Front End,224293 miles (Not Required/Exempt),19.10.2020
Volvo Xc70 3.0T 2010 Black 3.0L vin: YV4992BZ9A1077737,1200,IAAI,28483091,Stationary,Flood,144789 miles (Not Actual),19.10.2020
Volvo S40 2010 Blue 2.4L vin: YV1390MS8A2489861,625,IAAI,28426395,Stationary,Rear,96281 mile (Actual),19.10.2020
Volvo Xc70 2008 Silver 3.2L vin: YV4BZ982181036291,725,IAAI,28397776,Run and Drive,Front End,182768 miles (Actual),19.10.2020
Volvo C30 2009 Gray 2.5L vin: YV1MK672092138025,875,IAAI,28382670,Stationary,Front End,93919 miles (Not Required/Exempt),19.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS3D2181739,2800,IAAI,28381938,Run and Drive,Front and Rear,116867 miles (Actual),19.10.2020
Volvo S40 2010 Silver 2.4L vin: YV1382MS2A2489014,625,IAAI,28368871,Run and Drive,Front End,212415 miles (Not Required/Exempt),19.10.2020
Volvo Xc60 Inscription 2017 Black 2.0L vin: YV440MDU2H2102211,9300,IAAI,28322472,Run and Drive,Right Front,36384 miles (Actual),19.10.2020
Volvo S60 T5 2014 Gray 2.5L vin: YV1612FH2E2278095,3850,IAAI,28319436,Stationary,Engine Damage,70047 miles (Actual),19.10.2020
Volvo Xc60 Momentum 2019 Black 2.0L vin: LYV102RK7KB184735,14150,IAAI,28308220,Stationary,All Over,28508 miles (Actual),19.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982581478141,450,IAAI,28282652,Stationary,Left Side,Odometer Not Required/Exempt miles (Not Required/Exempt),19.10.2020
Volvo Xc60 Momentum 2019 Black 2.0L vin: LYV102DK6KB341209,16575,IAAI,28218335,Stationary,Left Front,2146 miles (Not Actual),19.10.2020
Volvo S80 3.0L Turbo 2008 Gray 3.0L vin: YV1AH992281062778,550,IAAI,28179818,Stationary,Mechanical,139811 miles (Actual),19.10.2020
Volvo Xc90 3.2 2008 White 3.2L vin: YV4CZ982981432084,625,IAAI,28079033,Run and Drive,Rear,166888 miles (Actual),19.10.2020
Volvo Xc90 I6 2008 Burgundy 3.2L vin: YV4CY982881418793,1125,IAAI,28062339,Run and Drive,Repossession,1 mile (Not Required/Exempt),19.10.2020
Volvo V60 T5/Dynamic 2018 Blue 2.0L vin: YV140MEL7J2379476,3900,IAAI,28039313,Run and Drive,Front and Rear,18203 miles (Actual),19.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS4D2202713,2650,IAAI,28624728,Stationary,Unknown,92883 miles (Actual),19.10.2020
Volvo S60 Dynamic 2018 Gray 2.0L vin: YV140MTL7J2460805,6350,IAAI,27988504,Stationary,Front End,38087 miles (Actual),17.10.2020
Volvo S60 T6 Momentum 2020 Gray 2.0L 4 vin: 7JRA22TK7LG060457,13400,Copart,52183410,Run And Drive,All Over,2841 mile (Actual),16.10.2020
Volvo S40 2.4I 2009 Silver 2.4L 5 vin: YV1MS382X92458238,375,Copart,51884730,Enhanced Vehicles,Mechanical,101318 miles (Exempt),15.10.2020
Volvo Xc90 V8 2008 Black 4.4L 8 vin: YV4CZ852281425394,775,Copart,51665920,Enhanced Vehicles,All Over,0 miles (Exempt),15.10.2020
Volvo C70 T5 2008 Gray 2.5L 5 vin: YV1MC67208J042218,575,Copart,51161640,Run And Drive,Burn,116582 miles (Exempt),16.10.2020
Volvo S60 T5 2014 Black 2.5L 5 vin: YV1612FS1E2295613,2350,Copart,51070170,Engine Start Program,Rear End,102722 miles (Actual),16.10.2020
Volvo Xc90 T8 2016 Black 2.0L 4 vin: YV4BC0PL8G1040179,15700,Copart,51019440,Enhanced Vehicles,Front End,0 miles (Not Actual),16.10.2020
Volvo V60 T5 Premier 2017 White 2.0L 4 vin: YV140MEK2H1371597,11400,Copart,50790320,Run And Drive,Burn,21920 miles (Actual),16.10.2020
Volvo S60 2.5T 2008 Black 2.5L 5 vin: YV1RS592782685336,775,Copart,50282410,Run And Drive,Front End,110326 miles (Exempt),15.10.2020
Volvo S40 T5 2011 Silver 2.5L 5 vin: YV1672MS5B2536277,1450,Copart,50103740,Run And Drive,Front End,96401 mile (Actual),16.10.2020
Volvo Xc90 3.2 2008 Gray 3.2L 6 vin: YV4CY982681421255,1250,Copart,50093630,Run And Drive,Rear End,194948 miles (Exempt),16.10.2020
Volvo Xc60 3.2 2013 Blue 3.2L 6 vin: YV4952DL7D2381541,2650,Copart,49889460,Run And Drive,Front End,105852 miles (Actual),16.10.2020
Volvo S60 T5 2012 Black 2.4L 5 vin: YV1622FS6C2109283,1200,Copart,49567890,Enhanced Vehicles,Front End,132214 miles (Actual),16.10.2020
Volvo Xc90 T6 2018 Black 2.0L 4 vin: YV4A22PL8J1328401,19200,Copart,49452170,Run And Drive,Front End,32530 miles (Actual),16.10.2020
Volvo S60 T5 2012 Charcoal 2.4L 5 vin: YV1622FS6C2115570,1850,Copart,49083690,Run And Drive,Undercarriage,163189 miles (Actual),16.10.2020
Volvo S60 T5 2008 Silver 2.4L 5 vin: YV1RS547782684822,1150,Copart,49076600,Run And Drive,Front End,106792 miles (Actual),16.10.2020
Volvo Xc60 T6 2011 Blue 3.0L 6 vin: YV4902DZ2B2181375,3600,Copart,49025610,Run And Drive,Front End,64323 miles (Actual),16.10.2020
Volvo Xc60 3.2 2013 White 3.2L 6 vin: YV4952DL5D2393235,2000,Copart,48029850,Enhanced Vehicles,Front End,108929 miles (Actual),16.10.2020
Volvo Xc60 T6 2012 Gray 3.0L 6 vin: YV4902DZ9C2316403,4150,Copart,47074690,Run And Drive,Front End,110584 miles (Actual),16.10.2020
Volvo Xc70 3.2 2011 Blue 3.2L 6 vin: YV4952BZ8B1114323,575,Copart,46691920,Enhanced Vehicles,Front End,80903 miles (Actual),16.10.2020
Volvo Xc90 3.2 2008 Black 3.2L 6 vin: YV4CZ982X81425354,875,Copart,46456510,Run And Drive,Top/Roof,125518 miles (Exempt),15.10.2020
Volvo S60 Platinum 2015 Blue 2.0L 4 vin: YV149MFM6F1348407,6600,Copart,46334020,Run And Drive,Water/Flood,70441 mile (Actual),16.10.2020
Volvo S60 T5 2013 Black 2.5L 5 vin: YV1612FH9D2177604,1950,Copart,44766830,Run And Drive,Front End,86860 miles (Actual),16.10.2020
Volvo Xc60 3.2 2010 Black 3.2L 6 vin: YV4960DZ4A2079402,1950,Copart,44122200,Run And Drive,Side,178751 mile (Exempt),16.10.2020
Volvo Xc40 T5 Momentum 2019 Black 2.0L 4 vin: YV4162XZ3K2012831,12600,Copart,43990710,Unknown,Water/Flood,0 miles (Not Actual),16.10.2020
Volvo Xc90 T6 Momentum 2020 White 2.0L 4 vin: YV4A22PK5L1584571,30250,Copart,43920540,Run And Drive,Side,3260 miles (Actual),16.10.2020
Volvo S40 2.4I 2010 Black 2.4L 5 vin: YV1390MSXA2510516,575,Copart,40263260,Enhanced Vehicles,Side,155444 miles (Exempt),16.10.2020
Volvo Xc70 T6 2012 Blue 3.0L 6 vin: YV4902BZ3C1131515,4650,Copart,40003780,Run And Drive,Top/Roof,91352 miles (Actual),16.10.2020
Volvo Xc90 T6 2018 Black 2.0L 4 vin: YV4A22PLXJ1376126,18900,Copart,35564420,Run And Drive,Front End,25229 miles (Actual),16.10.2020
Volvo S80 3.2 2008 Silver 3.2L 6 vin: YV1AS982681048417,500,Copart,25811950,Enhanced Vehicles,Front End,151054 miles (Actual),16.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CN982081464319,650,IAAI,28127757,Run and Drive,Right Side,201477 miles (Actual),16.10.2020
Volvo Xc90 V8 2008 Black 4.4L vin: YV4CZ852781457824,1750,IAAI,28680141,Run and Drive,None,153252 miles (Actual),16.10.2020
Volvo S40 2010 Red 2.4L vin: YV1382MS3A2508203,300,IAAI,28658260,Stationary,Unknown,154091 mile (Actual),16.10.2020
Volvo S60 T5 2012 White 2.5L vin: YV1622FS2C2051057,1475,IAAI,28615657,Stationary,Engine Damage,159363 miles (Actual),16.10.2020
Volvo Xc60 Inscription 2017 Blue 2.0L vin: YV449MRU9H2030065,9075,IAAI,28607310,Starts,Front End,66789 miles (Actual),16.10.2020
Volvo C70 2011 White 2.5L vin: YV1672MC5BJ109776,1525,IAAI,28503079,Run and Drive,Front and Rear,85784 miles (Actual),16.10.2020
Volvo Xc90 R-Design 2013 White 3.2L vin: YV4952CT9D1653403,7000,IAAI,28430507,Run and Drive,Storm Damage,61031 mile (Actual),16.10.2020
Volvo S80 I6 2009 Green 3.2L vin: YV1AS982391094322,625,IAAI,28371525,Run and Drive,Front and Rear,161597 miles (Actual),16.10.2020
Volvo Xc90 2012 Gray 3.2L vin: YV4952CZXC1623474,3900,IAAI,28369747,Run and Drive,Right Rear,120251 mile (Actual),16.10.2020
Volvo V70 2008 Silver 3.2L vin: YV1BW982681050791,1025,IAAI,28325779,Run and Drive,Left Side,117815 miles (Not Required/Exempt),16.10.2020
Volvo S40 2.5T R-Design 2009 Black 2.5L vin: YV1MH672192466424,1500,IAAI,28271002,Run and Drive,Front End,98907 miles (Actual),16.10.2020
Volvo S60 Momentum 2020 Beige 2.0L vin: 7JR102FK4LG072535,9575,IAAI,28242040,Stationary,Flood,85 miles (Not Actual),16.10.2020
Volvo Xc70 3.2L 2012 Blue 3.2L vin: YV4952BL4C1139068,2850,IAAI,28186897,Run and Drive,Front End,73437 miles (Actual),16.10.2020
Volvo Vn Vnl 2011 Unknown vin: 4V4NC9EJ8BN535333,2350,IAAI,27908669,Unknown,Left Side,Odometer Not Required/Exempt miles (Not Required/Exempt),16.10.2020
Volvo Xc60 3.2 2010 Gray 3.2L 6 vin: YV4960DZ4A2064799,3050,Copart,52420650,Run And Drive,Minor Dent/Scratches,213310 miles (Actual),15.10.2020
Volvo Xc70 3.2 2009 Black 3.2L 6 vin: YV4BZ982291049861,1450,Copart,51756060,Run And Drive,Vandalism,192052 miles (Actual),15.10.2020
Volvo Xc60 T6 R-Design 2019 Silver 2.0L 4 vin: YV4A22RM0K1380113,12100,Copart,51387730,Enhanced Vehicles,Front End,0 miles (Not Actual),14.10.2020
Volvo S60 T5 2013 Black 2.5L 5 vin: YV1612FS8D2187701,1650,Copart,51107110,Run And Drive,Mechanical,136320 miles (Actual),15.10.2020
Volvo Xc60 T5 Platinum 2015 Beige 2.5L 5 vin: YV4612RM8F2707107,3350,Copart,50380640,Enhanced Vehicles,All Over,0 miles (Not Actual),15.10.2020
Volvo Xc90 3.2 2010 Charcoal 3.2L 6 vin: YV4982CZ2A1549066,2250,Copart,50294060,Run And Drive,Side,135428 miles (Actual),15.10.2020
Volvo S40 2.4I 2008 Blue 2.4L 5 vin: YV1MS382482357985,1150,Copart,50076080,Run And Drive,Front End,117400 miles (Actual),15.10.2020
Volvo Xc90 3.2 2013 Gray 3.2L 6 vin: YV4952CZ2D1630484,3100,Copart,49900630,Run And Drive,Side,78195 miles (Actual),15.10.2020
Volvo C70 T5 2009 Gray 2.5L 5 vin: YV1MC67299J076644,725,Copart,49577080,Run And Drive,Normal Wear,108518 miles (Actual),14.10.2020
Volvo S60 T6 2011 Black 3.0L 6 vin: YV1902FH1B2016290,375,Copart,49131770,Enhanced Vehicles,Front End,0 miles (Not Actual),15.10.2020
Volvo S80 3.2 2008 Black 3.2L 6 vin: YV1AS982281050455,1100,Copart,48872650,Enhanced Vehicles,Side,168519 miles (Exempt),15.10.2020
Volvo C30 T5 2009 Blue 2.5L 5 vin: YV1MK672892120548,900,Copart,48793670,Enhanced Vehicles,Front End,147083 miles (Actual),15.10.2020
Volvo C70 T5 2008 Silver 2.5L 5 vin: YV1MC67208J053722,1400,Copart,48456760,Run And Drive,Minor Dent/Scratches,114893 miles (Actual),15.10.2020
Volvo Xc60 T5 Momentum 2019 Red 2.0L 4 vin: LYV102DK0KB315687,17600,Copart,48369750,Enhanced Vehicles,Front End,15976 miles (Actual),15.10.2020
Volvo S60 T5 Momentum 2020 Green 2.0L 4 vin: 7JR102FK7LG066535,8200,Copart,48343090,Run And Drive,Side,0 miles (Not Actual),15.10.2020
Volvo S80 3.2 2010 White 3.2L 6 vin: YV1982AS4A1126167,675,Copart,48109590,Engine Start Program,Front End,136172 miles (Actual),15.10.2020
Volvo C30 T5 2008 Black 2.5L 5 vin: YV1MK672982052016,1700,Copart,46357760,Run And Drive,Front End,97827 miles (Exempt),14.10.2020
Volvo Xc60 T5 Inscription 2020 Silver 2.0L 4 vin: YV4102RLXL1428862,21300,Copart,44579920,Engine Start Program,All Over,13178 miles (Actual),15.10.2020
Volvo C30 T5 2011 Blue 2.5L 5 vin: YV1672MK5B2203917,1150,Copart,44480480,Run And Drive,Front End,55302 miles (Actual),15.10.2020
Volvo C70 T5 2008 Black 2.5L 5 vin: YV1MC67218J042034,975,Copart,44144050,Run And Drive,Front End,134408 miles (Exempt),15.10.2020
Volvo V60 T5 Dynamic 2018 Black 2.0L 4 vin: YV140MSL9J2397966,7200,Copart,42323980,Run And Drive,Front End,48638 miles (Actual),15.10.2020
Volvo S60 Dynamic 2017 Silver 2.0L 4 vin: YV140MTL9H2420140,3100,Copart,37749180,Unknown,Front End,52342 miles (Actual),15.10.2020
Volvo S60 T6 Momentum 2020 Red 2.0L 4 vin: 7JRA22TK4LG035824,14500,Copart,29576320,Run And Drive,Front End,7778 miles (Actual),15.10.2020
Volvo C30 2011 Black 2.5L vin: YV1672MK8B2198454,1800,IAAI,28667778,Stationary,Unknown,110509 miles (Actual),15.10.2020
Volvo S60 T5 2013 White 2.5L vin: YV1612FS9D2170745,1250,IAAI,28630792,Stationary,Mechanical,128855 miles (Actual),15.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS4D2202713,1475,IAAI,28624728,Stationary,Unknown,92883 miles (Actual),15.10.2020
Volvo C70 2008 Blue 2.5L vin: YV1MC67228J052877,825,IAAI,28609577,Stationary,Front and Rear,102416 miles (Not Required/Exempt),15.10.2020
Volvo S60 T5 2012 Silver 2.5L vin: YV1622FSXC2042249,1325,IAAI,28598282,Run and Drive,Unknown,188853 miles (Actual),15.10.2020
Volvo S60 T5 2012 White 2.5L vin: YV1622FS2C2027180,1150,IAAI,28583656,Run and Drive,Mechanical,175214 miles (Actual),15.10.2020
Volvo Xc90 I6 2011 Black 3.2L vin: YV4952CZ7B1580176,725,IAAI,28578039,Run and Drive,Front End,180716 miles (Actual),15.10.2020
Volvo V50 2010 White 2.4L vin: YV1390MWXA2560139,925,IAAI,28571741,Run and Drive,Front and Rear,163240 miles (Actual),15.10.2020
Volvo S80 I6 2010 Dark Blue 3.2L vin: YV1960AS7A1124844,1150,IAAI,28571551,Run and Drive,Front End,181201 mile (Actual),15.10.2020
Volvo S40 2.4L 2008 Black 2.4L vin: YV1MS382282384389,1300,IAAI,28527778,Run and Drive,Right Rear,122695 miles (Not Required/Exempt),15.10.2020
Volvo V90 Cross Country 2017 Black 2.0L vin: YV4A22NL2H1001201,21500,IAAI,28480003,Run and Drive,Left Side,31006 miles (Actual),15.10.2020
Volvo S80 T5 Drive-E 2015 Black 2.0L vin: YV140MAK4F1186177,1625,IAAI,28324755,Stationary,Rollover,63688 miles (Actual),15.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982981462511,1000,IAAI,28260477,Run and Drive,Front and Rear,161598 miles (Not Required/Exempt),15.10.2020
Volvo S60 2011 Maroon 3.0L vin: YV1902FH9B2014870,2600,IAAI,28245274,Run and Drive,Left Front,87057 miles (Actual),15.10.2020
Volvo Xc90 V8 2008 White 4.4L vin: YV4CZ852681457331,1000,IAAI,28230905,Run and Drive,Front End,155364 miles (Not Required/Exempt),15.10.2020
Volvo S60 T5 2012 Red 2.5L vin: YV1622FS4C2095514,2475,IAAI,28217700,Run and Drive,Left Side,127316 miles (Actual),15.10.2020
Volvo S60 T5 Drive-E Platinum 2015 Silver 2.0L vin: YV140MFM6F1362687,4350,IAAI,28213112,Run and Drive,Rear,53386 miles (Actual),15.10.2020
Volvo S60 T5 2012 Maroon 2.5L vin: YV1622FS1C2087239,1000,IAAI,28204072,Stationary,Engine Burn,1 mile (Not Actual),15.10.2020
Volvo Xc60 Dynamic 2017 Black 2.0L vin: YV440MRR9H2025034,5100,IAAI,28125218,Stationary,Left Side,44774 miles (Actual),15.10.2020
Volvo Xc60 Momentum 2019 Gray 2.0L vin: LYV102RK7KB219418,15250,IAAI,28115009,Starts,Front End,19551 mile (Actual),15.10.2020
Volvo Xc90 Inscription 2019 White 2.0L vin: YV4A22PLXK1497949,27325,IAAI,27754263,Run and Drive,Right Front,15541 mile (Not Actual),15.10.2020
Volvo Xc60 3.2L 2012 Blue 3.2L vin: YV4952DLXC2304144,3275,IAAI,28155478,Run and Drive,Front End,75673 miles (Actual),15.10.2020
Volvo C70 2011 Black 2.5L vin: YV1672MC7BJ108547,975,IAAI,28107981,Stationary,Front End,83647 miles (Actual),15.10.2020
Volvo S40 2.4I 2009 Silver 2.4L 5 vin: YV1MS390292458358,1900,Copart,51432420,Run And Drive,Water/Flood,75496 miles (Actual),13.10.2020
Volvo S40 2.4I 2008 Gray 2.4L 5 vin: YV1MS390582383217,500,Copart,50494870,Run And Drive,Front End,121520 miles (Actual),14.10.2020
Volvo S60 T5 2014 Charcoal 2.5L 5 vin: YV1612FS5E1290162,2800,Copart,50079080,Run And Drive,Front End,130565 miles (Actual),14.10.2020
Volvo S60 T5 2012 Red 2.4L 5 vin: YV1622FS6C2029319,1400,Copart,49968190,Unknown,All Over,89342 miles (Not Actual),14.10.2020
Volvo V70 3.2 2008 Gray 3.2L 6 vin: YV1BW982681033490,2150,Copart,49703840,Run And Drive,Water/Flood,101126 miles (Actual),14.10.2020
Volvo S60 T5 2014 Black 2.5L 5 vin: YV1612FH3E2276727,2650,Copart,49609980,Enhanced Vehicles,Rear End,0 miles (Not Actual),14.10.2020
Volvo C30 T5 2009 White 2.5L 5 vin: YV1MK672792145876,1750,Copart,48275200,Run And Drive,Water/Flood,59517 miles (Actual),14.10.2020
Volvo S40 2.4I 2008 Green 2.4L 5 vin: YV1MS390X82400044,725,Copart,48084370,Run And Drive,Front End,97110 miles (Actual),14.10.2020
Volvo S60 T5 2013 Black 2.5L 5 vin: YV1612FS8D1223232,1450,Copart,47992430,Run And Drive,Rear End,151616 miles (Actual),14.10.2020
Volvo Xc60 3.2 2011 White 3.2L 6 vin: YV4952DL0B2162370,2150,Copart,47781490,Run And Drive,Front End,62095 miles (Not Actual),14.10.2020
Volvo Xc70 2008 Beige 3.2L 6 vin: YV4BZ982081007073,1550,Copart,47575080,Run And Drive,Side,132354 miles (Actual),14.10.2020
Volvo Xc60 3.2 2011 Turquoise 3.2L 6 vin: YV4952DL4B2192441,2050,Copart,47419520,Run And Drive,Rear End,132626 miles (Actual),14.10.2020
Volvo S60 Cross Country T5 2016 Gray 2.5L 5 vin: YV4612UM0G2001449,8700,Copart,46525080,Run And Drive,Top/Roof,48745 miles (Actual),14.10.2020
Volvo Xc90 V8 2010 Black 4.4L 8 vin: YV4852CZ7A1548130,2250,Copart,46475680,Run And Drive,Rear End,102932 miles (Exempt),14.10.2020
Volvo Xc90 3.2 2013 Brown 3.2L 6 vin: YV4952CZ5D1633122,525,Copart,46293780,Enhanced Vehicles,Burn - Interior,0 miles (Not Actual),14.10.2020
Volvo Xc60 T6 2013 White 3.0L 6 vin: YV4902DZ6D2409784,3050,Copart,45435870,Enhanced Vehicles,Front End,86462 miles (Actual),14.10.2020
Volvo Xc60 T6 2013 Blue 3.0L 6 vin: YV4902DZ0D2393842,6100,Copart,42485040,Run And Drive,Hail,194242 miles (Actual),13.10.2020
Volvo Xc90 3.2 2013 Blue 3.2L 6 vin: YV4952CY8D1646339,3100,Copart,42231880,Run And Drive,Front End,121630 miles (Actual),14.10.2020
Volvo S60 T5 2013 Black 2.5L 5 vin: YV1612FS1D2207965,3900,Copart,42056830,Run And Drive,Hail,90834 miles (Actual),14.10.2020
Volvo Xc60 T6 2012 Black 3.0L 6 vin: YV4902DZXC2317415,1600,Copart,41143050,Run And Drive,Hail,349225 miles (Not Actual),13.10.2020
Volvo Xc60 T5 2017 White 2.0L 4 vin: YV440MDJ5H2093302,3150,Copart,30937610,Engine Start Program,Rollover,113837 miles (Actual),14.10.2020
Volvo S60 Premier 2015 Silver 2.0L 4 vin: YV126MFB6F1311680,2150,Copart,29798620,Unknown,Front End,3578 miles (Not Actual),14.10.2020
Volvo Vn Vnl 2016 Black vin: 4V4NC9EH1GN929213,7575,IAAI,28710528,Unknown,Rollover,510898 miles (Not Required/Exempt),14.10.2020
Volvo S60 T5 2013 White 2.5L vin: YV1612FSXD1211874,2100,IAAI,28679659,Run and Drive,Front End,126719 miles (Actual),14.10.2020
Volvo Vn Vnl 2013 Blue vin: 4V4NC9EH1DN143777,3500,IAAI,28643350,Unknown,Mechanical,690686 miles (Not Required/Exempt),14.10.2020
Volvo C70 2009 Black 2.5L vin: YV1MC67279J071460,1300,IAAI,28638290,Run and Drive,Front End,170213 miles (Actual),14.10.2020
Volvo S40 2010 Gray 2.4L vin: YV1382MS8A2504583,700,IAAI,28618646,Run and Drive,Front End,146594 miles (Actual),14.10.2020
Volvo Xc60 3.2L 2010 Black 3.2L vin: YV4982DL4A2054372,925,IAAI,28617358,Stationary,Unknown,999999 miles (Not Actual),14.10.2020
Volvo C70 2010 Black 2.5L vin: YV1672MC3AJ091647,575,IAAI,28599228,Stationary,Front End,176057 miles (Not Actual),14.10.2020
Volvo Xc90 I6 2010 Silver 3.2L vin: YV4982CZ6A1563052,1050,IAAI,28595897,Run and Drive,Front End,123476 miles (Not Required/Exempt),14.10.2020
Volvo Vn Vnl 2015 Unknown vin: 4V4NC9EJ2FN914673,19350,IAAI,28590252,Unknown,Right Side,601724 miles (Not Actual),14.10.2020
Volvo C30 2009 Silver 2.5L vin: YV1MK672092147131,1125,IAAI,28541451,Run and Drive,Left Rear,136119 miles (Not Required/Exempt),14.10.2020
Volvo S40 2010 White 2.4L vin: YV1390MS3A2508137,1275,IAAI,28540734,Run and Drive,Right Side,116036 miles (Not Required/Exempt),14.10.2020
Volvo S40 2011 Gray 2.5L vin: YV1672MS6B2544078,650,IAAI,28507424,Run and Drive,Right Side,150491 mile (Actual),14.10.2020
Volvo S60 T5 2012 Red 2.5L vin: YV1622FS5C2097496,2550,IAAI,28461821,Run and Drive,Suspension,117574 miles (Actual),14.10.2020
Volvo Vn Vnl 2015 Red vin: 4V4NC9EH0FN180614,10475,IAAI,28450142,Unknown,Left Front,546681 mile (Not Actual),14.10.2020
Volvo Xc60 Momentum 2018 Black 2.0L vin: LYV102RK0JB082997,15775,IAAI,28445966,Starts,Left Side,15498 miles (Actual),14.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FH9D2173388,4300,IAAI,28430945,Run and Drive,Left Side,86043 miles (Actual),14.10.2020
Volvo S60 Inscription Platinum 2017 White 2.0L vin: LYV402TMXHB142222,8075,IAAI,28407273,Run and Drive,Front End,37870 miles (Actual),14.10.2020
Volvo Vn Vnm 2008 White vin: 4V4MC9GF48N489187,4000,IAAI,28379066,Run and Drive,Right Front,490341 mile (Not Required/Exempt),14.10.2020
Volvo Vn Vnl 2015 Unknown vin: 4V4NC9EH8FN185169,12000,IAAI,28379037,Starts,Mechanical,Odometer Not Required/Exempt miles (Not Actual),14.10.2020
Volvo S40 2010 White 2.4L vin: YV1382MS5A2501382,450,IAAI,28358403,Stationary,Front End,155356 miles (Not Required/Exempt),14.10.2020
Volvo S60 Dynamic 2017 White 2.0L vin: YV126MFL2H2422667,5550,IAAI,28340996,Run and Drive,Front End,30066 miles (Actual),14.10.2020
Volvo S80 3.2L 2012 White 3.2L vin: YV1940AS9C1158485,575,IAAI,28313274,Stationary,Mechanical,185463 miles (Actual),14.10.2020
Volvo Xc60 3.2L 2013 White 3.2L vin: YV4952DZ5D2410331,550,IAAI,28272608,Stationary,Theft,1 mile (Actual),14.10.2020
Volvo Xc90 I6 2011 Silver 3.2L vin: YV4952CZ4B1570818,1750,IAAI,28250863,Run and Drive,Front and Rear,133258 miles (Actual),14.10.2020
Volvo Xc90 2013 Black 3.2L vin: YV4952CYXD1650554,2525,IAAI,28229133,Stationary,Left Front,95157 miles (Actual),14.10.2020
Volvo S60 Momentum 2019 White 2.0L vin: 7JR102FK2KG012252,13225,IAAI,28168567,Run and Drive,Front End,9340 miles (Actual),14.10.2020
Volvo Xc60 3.2L 2012 Blue 3.2L vin: YV4952DLXC2304144,2200,IAAI,28155478,Run and Drive,Front End,75673 miles (Actual),14.10.2020
Volvo Xc60 Momentum 2020 White 2.0L vin: YV4102DK5L1424507,15025,IAAI,28125181,Run and Drive,Left Front,999999 miles (Not Actual),14.10.2020
Volvo C70 T5 2011 Black 2.5L vin: YV1672MC7BJ108547,725,IAAI,28107981,Stationary,Front End,83647 miles (Actual),14.10.2020
Volvo S90 T5/Momentum 2017 White 2.0L vin: YV1102AK3H1010196,13300,IAAI,28060620,Run and Drive,Rear,42793 miles (Actual),14.10.2020
Volvo Xc90 3.2 2008 Gray 3.2L vin: YV4CY982581429816,1200,IAAI,27967514,Run and Drive,Front and Rear,142395 miles (Actual),14.10.2020
Volvo Vn Vnl 2011 Unknown vin: 4V4NC9EJ8BN535333,1225,IAAI,27908669,Unknown,Left Side,Odometer Not Required/Exempt miles (Not Actual),14.10.2020
Volvo Xc90 3.2 2014 Black 3.2L vin: YV4952CZ6E1699437,6600,IAAI,27885156,Run and Drive,Front End,69416 miles (Actual),14.10.2020
Volvo S80 3.2 2011 Black 3.2L vin: YV1940AS1B1138651,2050,IAAI,27855861,Run and Drive,Left Front,100539 miles (Actual),14.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS3C2115347,1975,IAAI,27827088,Stationary,Unknown,93563 miles (Actual),14.10.2020
Volvo Vn 2020 Unknown vin: 4V4NC9TH7LN253301,6950,IAAI,27684861,Unknown,Front and Rear,50000 miles (Not Actual),14.10.2020
Volvo Vn 2018 Unknown vin: 4V4NC9EH5JN896045,23050,IAAI,27495167,Unknown,All Over,283664 miles (Actual),14.10.2020
Volvo Xc90 Momentum 2019 Black 2.0L vin: YV4A22PK6K1469377,16925,IAAI,27325799,Stationary,Right Side,475 miles (Not Actual),14.10.2020
Volvo S60 T5 2014 Black 2.5L vin: YV1612FS7E1287540,3950,IAAI,28680475,Run and Drive,Flood,1 mile (Status Unknown),14.10.2020
Volvo S60 T5 2014 Blue 2.5L vin: YV1612FSXE2281869,3825,IAAI,28654098,Stationary,Unknown,103677 miles (Actual),14.10.2020
